trajectory_a,trajectory_b,score_a,score_b,probability,uncertainty
T02,T08,-6.1000000000000005,-6.1000000000000005,0.5,0.0
T04,T20,-5.5,-5.5,0.5,0.0
T05,T11,-7.9,-7.9,0.5,0.0
T07,T09,-8.5,-8.5,0.5,0.0
T12,T17,-21.700000000000003,-22.299999999999997,0.6456563062257942,0.14565630622579417
T03,T06,-7.300000000000001,-6.700000000000001,0.35434369377420466,0.14565630622579534
T07,T11,-8.5,-7.9,0.35434369377420466,0.14565630622579534
T09,T11,-8.5,-7.9,0.35434369377420466,0.14565630622579534
T01,T04,-4.9,-5.5,0.6456563062257954,0.1456563062257954
T01,T20,-4.9,-5.5,0.6456563062257954,0.1456563062257954
T03,T05,-7.300000000000001,-7.9,0.6456563062257954,0.1456563062257954
T03,T11,-7.300000000000001,-7.9,0.6456563062257954,0.1456563062257954
T05,T07,-7.9,-8.5,0.6456563062257954,0.1456563062257954
T05,T09,-7.9,-8.5,0.6456563062257954,0.1456563062257954
T07,T14,-8.5,-9.1,0.6456563062257954,0.1456563062257954
T09,T14,-8.5,-9.1,0.6456563062257954,0.1456563062257954
T02,T04,-6.1000000000000005,-5.5,0.35434369377420444,0.14565630622579556
T02,T20,-6.1000000000000005,-5.5,0.35434369377420444,0.14565630622579556
T06,T08,-6.700000000000001,-6.1000000000000005,0.35434369377420444,0.14565630622579556
T08,T20,-6.1000000000000005,-5.5,0.35434369377420444,0.14565630622579556
T02,T06,-6.1000000000000005,-6.700000000000001,0.6456563062257956,0.14565630622579562
T04,T08,-5.5,-6.1000000000000005,0.6456563062257956,0.14565630622579562
T03,T07,-7.300000000000001,-8.5,0.7685247834990175,0.26852478349901754
T03,T09,-7.300000000000001,-8.5,0.7685247834990175,0.26852478349901754
T05,T06,-7.9,-6.700000000000001,0.23147521650098246,0.26852478349901754
T05,T14,-7.9,-9.1,0.7685247834990175,0.26852478349901754
T06,T11,-6.700000000000001,-7.9,0.7685247834990175,0.26852478349901754
T10,T13,-14.5,-13.3,0.23147521650098246,0.26852478349901754
T11,T14,-7.9,-9.1,0.7685247834990175,0.26852478349901754
T03,T08,-7.300000000000001,-6.1000000000000005,0.23147521650098232,0.26852478349901765
T01,T02,-4.9,-6.1000000000000005,0.7685247834990178,0.26852478349901776
T01,T08,-4.9,-6.1000000000000005,0.7685247834990178,0.26852478349901776
T02,T03,-6.1000000000000005,-7.300000000000001,0.7685247834990178,0.26852478349901776
T06,T20,-6.700000000000001,-5.5,0.23147521650098218,0.2685247834990178
T04,T06,-5.5,-6.700000000000001,0.7685247834990179,0.26852478349901787
T03,T14,-7.300000000000001,-9.1,0.8581489350995121,0.35814893509951207
T06,T07,-6.700000000000001,-8.5,0.8581489350995121,0.35814893509951207
T06,T09,-6.700000000000001,-8.5,0.8581489350995121,0.35814893509951207
T05,T08,-7.9,-6.1000000000000005,0.14185106490048782,0.3581489350995122
T01,T06,-4.9,-6.700000000000001,0.8581489350995123,0.3581489350995123
T02,T05,-6.1000000000000005,-7.9,0.8581489350995123,0.3581489350995123
T02,T11,-6.1000000000000005,-7.9,0.8581489350995123,0.3581489350995123
T03,T04,-7.300000000000001,-5.5,0.1418510649004877,0.3581489350995123
T03,T20,-7.300000000000001,-5.5,0.1418510649004877,0.3581489350995123
T08,T11,-6.1000000000000005,-7.9,0.8581489350995123,0.3581489350995123
T14,T16,-9.1,-10.9,0.8581489350995123,0.3581489350995123
T12,T15,-21.700000000000003,-19.9,0.14185106490048727,0.35814893509951273
T06,T14,-6.700000000000001,-9.1,0.9168273035060774,0.41682730350607744
T15,T17,-19.9,-22.299999999999997,0.9168273035060774,0.41682730350607744
T07,T08,-8.5,-6.1000000000000005,0.08317269649392241,0.4168273035060776
T01,T03,-4.9,-7.300000000000001,0.9168273035060777,0.41682730350607766
T02,T07,-6.1000000000000005,-8.5,0.9168273035060777,0.41682730350607766
T02,T09,-6.1000000000000005,-8.5,0.9168273035060777,0.41682730350607766
T04,T05,-5.5,-7.9,0.9168273035060777,0.41682730350607766
T04,T11,-5.5,-7.9,0.9168273035060777,0.41682730350607766
T05,T20,-7.9,-5.5,0.08317269649392235,0.41682730350607766
T07,T16,-8.5,-10.9,0.9168273035060777,0.41682730350607766
T08,T09,-6.1000000000000005,-8.5,0.9168273035060777,0.41682730350607766
T09,T16,-8.5,-10.9,0.9168273035060777,0.41682730350607766
T11,T20,-7.9,-5.5,0.08317269649392235,0.41682730350607766
T13,T16,-13.3,-10.9,0.08317269649392235,0.41682730350607766
T02,T14,-6.1000000000000005,-9.1,0.9525741268224331,0.45257412682243314
