episode,total_reward,total_benefit,total_cost,total_risk
1,-212.0,0.0,-72.0,-258.0
2,-192.0,0.0,-77.0,-234.0
3,-144.0,0.0,-89.0,-219.0
4,-164.0,0.0,-84.0,-264.0
5,-156.0,0.0,-86.0,-219.0
6,-127.0,10.0,-63.0,-189.0
7,-148.0,0.0,-88.0,-243.0
8,-98.0,10.0,-59.0,-177.0
9,-180.0,0.0,-80.0,-210.0
10,-152.0,0.0,-87.0,-231.0
11,-128.0,10.0,-89.0,-246.0
12,-77.0,10.0,-53.0,-138.0
13,-118.0,10.0,-79.0,-216.0
14,-165.0,10.0,-81.0,-249.0
15,-136.0,0.0,-91.0,-237.0
16,-27.0,10.0,-23.0,-66.0
17,-164.0,0.0,-84.0,-243.0
18,-58.0,10.0,-39.0,-99.0
19,-83.0,10.0,-49.0,-135.0
20,-90.0,10.0,-71.0,-189.0
21,-49.0,10.0,-35.0,-102.0
22,-64.0,10.0,-55.0,-138.0
23,-72.0,10.0,-43.0,-120.0
24,-92.0,10.0,-63.0,-171.0
25,-23.0,10.0,-29.0,-78.0
26,-120.0,10.0,-81.0,-222.0
27,-46.0,10.0,-37.0,-93.0
28,-30.0,10.0,-31.0,-81.0
29,-79.0,10.0,-65.0,-180.0
30,-70.0,10.0,-41.0,-102.0
31,-30.0,10.0,-31.0,-81.0
32,-102.0,10.0,-53.0,-156.0
33,-44.0,10.0,-25.0,-84.0
34,-58.0,10.0,-49.0,-120.0
35,-37.0,10.0,-33.0,-87.0
36,-20.0,10.0,-21.0,-54.0
37,-91.0,10.0,-57.0,-162.0
38,-31.0,10.0,-27.0,-78.0
39,-76.0,10.0,-47.0,-123.0
40,-13.0,10.0,-19.0,-51.0
41,-12.0,10.0,-23.0,-54.0
42,-39.0,10.0,-45.0,-108.0
43,-26.0,10.0,-27.0,-72.0
44,-42.0,10.0,-33.0,-93.0
45,-43.0,10.0,-39.0,-93.0
46,-28.0,10.0,-19.0,-54.0
47,-43.0,10.0,-29.0,-90.0
48,-36.0,10.0,-27.0,-78.0
49,-25.0,10.0,-31.0,-78.0
50,-31.0,10.0,-17.0,-54.0
51,-48.0,10.0,-39.0,-99.0
52,-15.0,10.0,-21.0,-57.0
53,-33.0,10.0,-19.0,-57.0
54,-45.0,10.0,-41.0,-108.0
55,-2.0,10.0,-13.0,-33.0
56,-19.0,10.0,-15.0,-42.0
57,-60.0,10.0,-51.0,-132.0
58,-15.0,10.0,-21.0,-54.0
59,-40.0,10.0,-31.0,-84.0
60,-4.0,10.0,-15.0,-36.0
61,-29.0,10.0,-25.0,-63.0
62,-37.0,10.0,-33.0,-93.0
63,-19.0,10.0,-25.0,-69.0
64,-6.0,10.0,-17.0,-45.0
65,-23.0,10.0,-19.0,-51.0
66,-30.0,10.0,-31.0,-75.0
67,-28.0,10.0,-19.0,-48.0
68,-7.0,10.0,-13.0,-36.0
69,-18.0,10.0,-19.0,-45.0
70,-53.0,10.0,-29.0,-90.0
71,-43.0,10.0,-19.0,-69.0
72,-32.0,10.0,-23.0,-69.0
73,-24.0,10.0,-35.0,-75.0
74,-2.0,10.0,-13.0,-33.0
75,-27.0,10.0,-23.0,-63.0
76,-30.0,10.0,-21.0,-66.0
77,-13.0,10.0,-19.0,-48.0
78,-13.0,10.0,-19.0,-48.0
79,-2.0,10.0,-13.0,-33.0
80,-6.0,10.0,-17.0,-45.0
81,-16.0,10.0,-17.0,-48.0
82,-21.0,10.0,-27.0,-63.0
83,-18.0,10.0,-19.0,-51.0
84,-17.0,10.0,-13.0,-39.0
85,-20.0,10.0,-21.0,-57.0
86,-2.0,10.0,-13.0,-30.0
87,-22.0,10.0,-23.0,-51.0
88,-20.0,10.0,-21.0,-57.0
89,-9.0,10.0,-15.0,-42.0
90,-11.0,10.0,-17.0,-48.0
91,-8.0,10.0,-19.0,-45.0
92,-15.0,10.0,-21.0,-57.0
93,-2.0,10.0,-13.0,-33.0
94,-8.0,10.0,-19.0,-48.0
95,-14.0,10.0,-15.0,-45.0
96,-7.0,10.0,-13.0,-36.0
97,-2.0,10.0,-13.0,-33.0
98,-2.0,10.0,-13.0,-33.0
99,-6.0,10.0,-17.0,-39.0
100,-7.0,10.0,-13.0,-36.0
101,-16.0,10.0,-17.0,-51.0
102,-17.0,10.0,-23.0,-54.0
103,-16.0,10.0,-17.0,-51.0
104,-27.0,10.0,-23.0,-51.0
105,-7.0,10.0,-13.0,-36.0
106,-6.0,10.0,-17.0,-45.0
107,-32.0,10.0,-23.0,-69.0
108,-16.0,10.0,-17.0,-51.0
109,-12.0,10.0,-13.0,-39.0
110,-7.0,10.0,-13.0,-36.0
111,-7.0,10.0,-13.0,-36.0
112,-14.0,10.0,-15.0,-42.0
113,-2.0,10.0,-13.0,-30.0
114,-13.0,10.0,-19.0,-48.0
115,-4.0,10.0,-15.0,-39.0
116,-4.0,10.0,-15.0,-39.0
117,-21.0,10.0,-17.0,-51.0
118,-19.0,10.0,-15.0,-45.0
119,-7.0,10.0,-13.0,-33.0
120,-16.0,10.0,-17.0,-45.0
121,-12.0,10.0,-13.0,-36.0
122,-16.0,10.0,-17.0,-42.0
123,-16.0,10.0,-17.0,-48.0
124,-7.0,10.0,-13.0,-36.0
125,-2.0,10.0,-13.0,-33.0
126,-19.0,10.0,-15.0,-48.0
127,-6.0,10.0,-17.0,-39.0
128,-9.0,10.0,-15.0,-42.0
129,-2.0,10.0,-13.0,-33.0
130,-2.0,10.0,-13.0,-33.0
131,-7.0,10.0,-13.0,-36.0
132,-6.0,10.0,-17.0,-39.0
133,-7.0,10.0,-13.0,-36.0
134,-2.0,10.0,-13.0,-33.0
135,-9.0,10.0,-15.0,-39.0
136,-7.0,10.0,-13.0,-36.0
137,-7.0,10.0,-13.0,-36.0
138,-13.0,10.0,-19.0,-42.0
139,-19.0,10.0,-15.0,-45.0
140,-9.0,10.0,-15.0,-39.0
141,-14.0,10.0,-15.0,-36.0
142,-14.0,10.0,-15.0,-45.0
143,-19.0,10.0,-15.0,-45.0
144,-7.0,10.0,-13.0,-36.0
145,-12.0,10.0,-13.0,-39.0
146,-2.0,10.0,-13.0,-33.0
147,-17.0,10.0,-13.0,-42.0
148,-16.0,10.0,-17.0,-39.0
149,-7.0,10.0,-13.0,-36.0
150,-14.0,10.0,-15.0,-42.0
151,-7.0,10.0,-13.0,-36.0
152,-9.0,10.0,-15.0,-36.0
153,-4.0,10.0,-15.0,-39.0
154,-2.0,10.0,-13.0,-33.0
155,-16.0,10.0,-17.0,-42.0
156,-17.0,10.0,-13.0,-42.0
157,-2.0,10.0,-13.0,-33.0
158,-14.0,10.0,-15.0,-45.0
159,-4.0,10.0,-15.0,-36.0
160,-9.0,10.0,-15.0,-42.0
161,-16.0,10.0,-17.0,-48.0
162,-9.0,10.0,-15.0,-42.0
163,-2.0,10.0,-13.0,-33.0
164,-7.0,10.0,-13.0,-36.0
165,-2.0,10.0,-13.0,-33.0
166,-14.0,10.0,-15.0,-42.0
167,-14.0,10.0,-15.0,-45.0
168,-7.0,10.0,-13.0,-36.0
169,-12.0,10.0,-13.0,-39.0
170,-11.0,10.0,-17.0,-45.0
171,-17.0,10.0,-13.0,-39.0
172,-9.0,10.0,-15.0,-39.0
173,-9.0,10.0,-15.0,-39.0
174,-19.0,10.0,-15.0,-42.0
175,-16.0,10.0,-17.0,-51.0
176,-13.0,10.0,-19.0,-45.0
177,-9.0,10.0,-15.0,-42.0
178,-2.0,10.0,-13.0,-33.0
179,-11.0,10.0,-17.0,-45.0
180,-4.0,10.0,-15.0,-39.0
181,-14.0,10.0,-15.0,-45.0
182,-9.0,10.0,-15.0,-42.0
183,-17.0,10.0,-13.0,-39.0
184,-26.0,10.0,-17.0,-57.0
185,-17.0,10.0,-13.0,-42.0
186,-7.0,10.0,-13.0,-36.0
187,-6.0,10.0,-17.0,-42.0
188,-27.0,10.0,-23.0,-63.0
189,-14.0,10.0,-15.0,-45.0
190,-22.0,10.0,-13.0,-45.0
191,-8.0,10.0,-19.0,-51.0
192,-7.0,10.0,-13.0,-33.0
193,-4.0,10.0,-15.0,-39.0
194,-17.0,10.0,-13.0,-42.0
195,-19.0,10.0,-15.0,-48.0
196,-7.0,10.0,-13.0,-36.0
197,-8.0,10.0,-19.0,-48.0
198,-4.0,10.0,-15.0,-36.0
199,-2.0,10.0,-13.0,-33.0
200,-13.0,10.0,-19.0,-48.0
201,-9.0,10.0,-15.0,-39.0
202,-2.0,10.0,-13.0,-33.0
203,-4.0,10.0,-15.0,-39.0
204,-2.0,10.0,-13.0,-33.0
205,-7.0,10.0,-13.0,-36.0
206,-11.0,10.0,-17.0,-48.0
207,-12.0,10.0,-13.0,-39.0
208,-15.0,10.0,-21.0,-57.0
209,-2.0,10.0,-13.0,-33.0
210,-14.0,10.0,-15.0,-39.0
211,-6.0,10.0,-17.0,-42.0
212,-9.0,10.0,-15.0,-39.0
213,-9.0,10.0,-15.0,-42.0
214,-28.0,10.0,-19.0,-63.0
215,-23.0,10.0,-19.0,-45.0
216,-9.0,10.0,-15.0,-42.0
217,-4.0,10.0,-15.0,-39.0
218,-14.0,10.0,-15.0,-42.0
219,-16.0,10.0,-17.0,-51.0
220,-17.0,10.0,-13.0,-42.0
221,-21.0,10.0,-17.0,-51.0
222,-14.0,10.0,-15.0,-45.0
223,-19.0,10.0,-15.0,-48.0
224,-20.0,10.0,-21.0,-54.0
225,-2.0,10.0,-13.0,-33.0
226,-11.0,10.0,-17.0,-45.0
227,-7.0,10.0,-13.0,-36.0
228,-13.0,10.0,-19.0,-51.0
229,-8.0,10.0,-19.0,-48.0
230,-19.0,10.0,-15.0,-42.0
231,-2.0,10.0,-13.0,-33.0
232,-9.0,10.0,-15.0,-42.0
233,-7.0,10.0,-13.0,-36.0
234,-29.0,10.0,-15.0,-54.0
235,-26.0,10.0,-17.0,-54.0
236,-6.0,10.0,-17.0,-42.0
237,-30.0,10.0,-21.0,-66.0
238,-7.0,10.0,-13.0,-33.0
239,-2.0,10.0,-13.0,-33.0
240,-2.0,10.0,-13.0,-33.0
241,-18.0,10.0,-19.0,-57.0
242,-22.0,10.0,-13.0,-45.0
243,-2.0,10.0,-13.0,-33.0
244,-9.0,10.0,-15.0,-36.0
