rank,trajectory_id,reward_score,total_reward,total_benefit,total_cost,total_risk,num_steps,states,actions
1,T01,-4.9,-2.0,10.0,-13.0,-30.0,13,"[(0,0), (1,0), (2,0), (3,0), (3,1), (4,1), (5,1), (5,2), (5,3), (4,3), (4,4), (4,5), (4,6), (5,6)]","[down, down, down, right, down, down, right, right, up, right, right, right, down]"
2,T06,-5.5,-7.0,10.0,-13.0,-33.0,14,"[(0,0), (1,0), (2,0), (3,0), (3,1), (4,1), (5,1), (5,2), (5,2), (5,3), (4,3), (4,4), (4,5), (4,6), (5,6)]","[down, down, down, right, down, down, right, up, right, up, right, right, right, down]"
3,T08,-5.5,-7.0,10.0,-13.0,-33.0,14,"[(0,0), (1,0), (2,0), (3,0), (3,0), (3,1), (4,1), (5,1), (5,2), (5,3), (4,3), (4,4), (4,5), (4,6), (5,6)]","[down, down, down, left, right, down, down, right, right, up, right, right, right, down]"
4,T19,-5.5,-12.0,10.0,-13.0,-33.0,15,"[(0,0), (1,0), (2,0), (3,0), (3,1), (4,1), (5,1), (5,2), (5,2), (5,3), (4,3), (4,4), (4,5), (4,6), (4,6), (5,6)]","[down, down, down, right, down, down, right, up, right, up, right, right, right, right, down]"
5,T03,-6.1,-12.0,10.0,-13.0,-36.0,15,"[(0,0), (1,0), (1,0), (2,0), (2,0), (3,0), (3,1), (4,1), (5,1), (5,2), (5,3), (4,3), (4,4), (4,5), (4,6), (5,6)]","[down, right, down, right, down, right, down, down, right, right, up, right, right, right, down]"
6,T49,-6.1,-22.0,10.0,-13.0,-36.0,17,"[(0,0), (1,0), (1,0), (2,0), (3,0), (3,1), (4,1), (5,1), (5,1), (5,1), (5,2), (5,3), (4,3), (4,3), (4,4), (4,5), (4,6), (5,6)]","[down, right, down, down, right, down, down, down, down, right, right, up, up, right, right, right, down]"
7,T02,-6.1000000000000005,-4.0,10.0,-15.0,-33.0,15,"[(0,0), (1,0), (2,0), (3,0), (3,1), (4,1), (5,1), (4,1), (5,1), (5,2), (5,3), (4,3), (4,4), (4,5), (4,6), (5,6)]","[down, down, down, right, down, down, up, down, right, right, up, right, right, right, down]"
8,T05,-6.1000000000000005,-4.0,10.0,-15.0,-33.0,15,"[(0,0), (1,0), (2,0), (3,0), (3,1), (4,1), (5,1), (5,0), (5,1), (5,2), (5,3), (4,3), (4,4), (4,5), (4,6), (5,6)]","[down, down, down, right, down, down, left, right, right, right, up, right, right, right, down]"
9,T04,-6.7,-4.0,10.0,-15.0,-36.0,15,"[(0,0), (1,0), (2,0), (3,0), (2,0), (3,0), (3,1), (4,1), (5,1), (5,2), (5,3), (4,3), (4,4), (4,5), (4,6), (5,6)]","[down, down, down, up, down, right, down, down, right, right, up, right, right, right, down]"
10,T09,-6.7,-4.0,10.0,-15.0,-36.0,15,"[(0,0), (1,0), (2,0), (3,0), (3,1), (4,1), (5,1), (5,2), (5,3), (4,3), (4,4), (3,4), (4,4), (4,5), (4,6), (5,6)]","[down, down, down, right, down, down, right, right, up, right, up, down, right, right, down]"
11,T18,-6.700000000000001,-17.0,10.0,-13.0,-39.0,16,"[(0,0), (1,0), (1,0), (1,0), (2,0), (2,0), (3,0), (3,1), (4,1), (5,1), (5,2), (5,3), (4,3), (4,4), (4,5), (4,6), (5,6)]","[down, right, left, down, right, down, right, down, down, right, right, up, right, right, right, down]"
12,T23,-6.700000000000001,-12.0,10.0,-13.0,-39.0,15,"[(0,0), (1,0), (2,0), (3,0), (3,0), (3,1), (4,1), (5,1), (5,2), (5,3), (5,3), (4,3), (4,4), (4,5), (5,5), (5,6)]","[down, down, down, down, right, down, down, right, right, right, up, right, right, down, right]"
